Hotel_Id,Hotel_name,Category,Hotel_location
1,Warwick San Fracisco,Pet Friendly|Breakfast,San Francisco
2,The Ritz Calton San Francisco,Vallet|Breakfast|Downtown|Pool|Pet Friendly,San Francisco
3,The Orchard Hotel,Vallet Parking| Pet Friendly ,San Francisco
4,The Marker San Fracisco,Pet Friendly|Breakfast|Pool,San Francisco
5,The Kensington Park Hotel,Pool|Free WiFI,San Francisco
6,The Inn at Union Square- A Greystone Hotel,Free WiFi|Pet Friendly,San Francisco
7,Taj Campton Place,Pet Friendly|Breakfast|Pool,San Francisco
8,Seaside Inn,Pet Friendly|Breakfast,San Francisco
9,San Remo Hotel,Free parking|Breakfast,San Francisco
10,San Francisco Marriott Marquis,Vallet|Breakfast|Downtown|Pool|Pet Friendly,San Francisco
11,Queen Anne Hotel,Free WiFi|Pet Friendly,San Francisco
12,Pier 2620 Hotel Fisherman's Wharf,Pet Friendly|Breakfast,San Francisco
13,Phoenix Hotel SF,Vallet Parking| Pet Friendly ,San Francisco
14,Palace Hotel,Pool|Free WiFI,San Francisco
15,Orchard Garden Hotel,Pet Friendly|Breakfast|Pool,San Francisco
17,Omni San Francisco Hotel,Vallet|Breakfast|Downtown|Pool|Pet Friendly,San Francisco
18,Loews Regency San Francisco,Free WiFi|Pet Friendly,San Francisco
19,Kimpton Sir Francis Drake Hotel,Vallet Parking| Pet Friendly ,San Francisco
20,Kimpton Buchanan,Pet Friendly|Breakfast|Pool,San Francisco
21,JW Marriott San Francisco Union Square,Vallet|Breakfast|Downtown|Pool|Pet Friendly,San Francisco
22,InterContinental San Francisco,Pool|Free WiFI,San Francisco
23,Hyatt Regency San Francisco,Free WIFI|Parking|Breakfast|Pool|Downtown,San Francisco
24,Huntington Hotel,Pet Friendly|Breakfast,San Francisco
25,Hotel Zoe Fisherman's Wharf,Free parking|Breakfast,San Francisco
26,Hotel Zetta San Francisco,Pool|Free WiFI,San Francisco
27,Hotel Zeppelin San Francisco,Free WiFi|Pet Friendly,San Francisco
28,Hotel Zephyr,Vallet Parking| Pet Friendly ,San Francisco
29,Hotel Zelos San Fracisco,Free parking|Breakfast,San Francisco
30,Hotel Vitale,Pool|Free WiFI,San Francisco
31,Hotel Sepro,Free WiFi|Pet Friendly,San Francisco
32,Hotel Nikko San Francisco,Pet Friendly|Breakfast,San Francisco
34,Hotel G San Francisco,Pet Friendly|Breakfast|Pool,San Francisco
36,Hotel Drisco Pacific Heights,Vallet Parking| Pet Friendly ,San Francisco
38,Hotel Carlton,Free WiFi|Pet Friendly,San Francisco
39,Hotel Abri,Free parking|Breakfast,San Francisco
40,Holiday Inn,Vallet Parking| Pet Friendly ,San Francisco
41,Harbor Court Hotel,Pet Friendly|Breakfast|Pool,San Francisco
42,Grand Hyatt San Francisco,Free parking|Breakfast,San Francisco
43,Galleria Park Hotel,Pet Friendly|Breakfast|Pool,San Francisco
44,Four Seasons Hotel San Francisco,Vallet|Breakfast|Downtown|Pool|Pet Friendly,San Francisco
45,Fairmont San Fracisco,Free parking|Breakfast,San Francisco
46,Cow Hollow Inn and Suites,Pool|Free WiFI,San Francisco
47,Coventry Motor Inn,Pet Friendly|Breakfast,San Francisco
48,Cornell Hotel de France,Pet Friendly|Breakfast|Pool,San Francisco
49,Chancellor Hotel on Union Square,Free WIFI|Parking|Breakfast|Pool|Downtown,San Francisco
50,Beck's Motor Lodge ,Free parking|Breakfast,San Francisco
